Bulk update,image_target_id,ID,Asset name,Land type,Asset type,Flags,Parents,Group,Location,Status
,,393,HortasDoVale-East (HDVE) - bed 7,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,392,HortasDoVale-East (HDVE) - bed 8,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,391,HortasDoVale-East (HDVE) - bed 9,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,390,HortasDoVale-East (HDVE) - bed 10,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,389,HortasDoVale-East (HDVE) - bed 11,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,388,HortasDoVale-East (HDVE) - bed 12,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,387,HortasDoVale-East (HDVE) - bed 13,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,386,HortasDoVale-East (HDVE) - bed 14,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,385,HortasDoVale-East (HDVE) - bed 15,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,384,HortasDoVale-East (HDVE) - bed 16,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,383,HortasDoVale-East (HDVE) - bed 17,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,382,HortasDoVale-East (HDVE) - bed 18,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,381,HortasDoVale-East (HDVE) - bed 19,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,380,HortasDoVale-East (HDVE) - bed 20,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,379,HortasDoVale-East (HDVE) - bed 21,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,378,HortasDoVale-East (HDVE) - bed 22,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,377,HortasDoVale-East (HDVE) - bed 23,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,376,HortasDoVale-East (HDVE) - bed 24,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,375,HortasDoVale-East (HDVE) - bed 25,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,374,HortasDoVale-East (HDVE) - bed 26,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,373,HortasDoVale-East (HDVE) - bed 27,Bed,Land,"Flags
          
              Organic",HVE : HortasDoVale-East,,,Active
,,372,Winter Green House - bed 6,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,371,Winter Green House - bed 5,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,370,Winter Green House - bed 4,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,369,Winter Green House - bed 3,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,368,Winter Green House - bed 2,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,367,Winter Green House - bed 1,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,366,Winter Green House - bed 8,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,365,Winter Green House - bed 7,Bed,Land,"Flags
          
              Organic",WGHbp : Winter Green House - beds for production,,,Active
,,364,W&NhomeGarden,Field,Land,,29Vb,,,Active
,,363,Paddock NS-01,Paddock,Land,"Flags
          
              Monitor",23V,,,Active
,,362,PastoralLowLands,Field,Land,,18U,,,Active
,,361,WaltsMilpasTestPlot,Field,Land,"Flags
          
              Not Organic",W&NhomeGarden,,,Active
,,360,CarobOrchard,Field,Land,,23V,,,Active
,,359,LamaGardensSouthCenter,Field,Land,,18U,,,Active
,,358,NoraField,Field,Land,,18U,,,Active
,,357,EiraField,Field,Land,,18U,,,Active
,,356,VineYard,Field,Land,,18U,,,Active
,,355,FigOrchard,Field,Land,,18U,,,Active
,,354,OOT-Ctr,Field,Land,,OOT-OrangeOrchardTerraces,,,Active
,,353,OOT-West,Field,Land,,OOT-OrangeOrchardTerraces,,,Active
,,352,OOT-East,Field,Land,"Flags
          
              Monitor",OOT-OrangeOrchardTerraces,,,Active
,,351,OOT-OrangeOrchardTerraces,Field,Land,,23V,,,Active
,,350,RedeNatura2000,Other,Land,,Quinta Vale da Lama,,,Active
,,349,RedeEcologicoNacional,Other,Land,,Quinta Vale da Lama,,,Active
,,348,RedeAgricolaNacional,Other,Land,,Quinta Vale da Lama,,,Active
,,347,31V,Property,Land,,Quinta Vale da Lama,,,Active
,,346,30V,Property,Land,,Quinta Vale da Lama,,,Active
,,345,29Vb,Property,Land,,Quinta Vale da Lama,,,Active
,,344,29Va,Property,Land,,Quinta Vale da Lama,,,Active
,,343,28V,Property,Land,,Quinta Vale da Lama,,,Active
,,342,23U,Property,Land,,Quinta Vale da Lama,,,Active
,,341,20U,Property,Land,,Quinta Vale da Lama,,,Active
,,340,19U,Property,Land,,Quinta Vale da Lama,,,Active
,,339,23V,Property,Land,,Quinta Vale da Lama,,,Active
,,338,18U,Property,Land,,Quinta Vale da Lama,,,Active
